english,arabic
sleep,نوم
sleeper,نائم
slept,نام
slime,لعاب، سلام
slow,بطيء
slower,أبطأ
slowly,ببطء، ببطء
small,صغير
smallest,الأصغر
smart,حكيم، ذكي
smarter,أذكى من
smartwatch,ساعة ذكية
smell,رائحة
smells,يشم
smile,إبتسامة
smiles,يبتسم
smooth,ناعم
snack,تسالي، وجبة خفيفة
snake,ثعبان
snow,ثلج
snowboard,لوح التزلج (على الجليد)
snowboarding,التزلج على الجليد
so,إلى هذا الحد، ولذلك، لكي
soccer,كرة القدم
soda,صودا، مياه غازية
softly,بلطف
sold,باع
solve,يحل
some,عدة، بعض
someone,شخص ما
something,شيء ما
something else,شيء آخر
sometimes,أحيانا
somewhere,في مكان ما
son,إبن
song,أغنية
soon,بعد قليل، على الفور، قريبا
sorry,مستاء، نادم
sort,نوع
sound,صوت
soup,شوربة
south,جنوب
space,فضاء، حيز
spaceship,سفينة فضاء
Spain,إسانيا
Spanish,إسباني
sparkle,يومض، يتلألأ
speak,يتكلم
special,خاص
specific,معين
speech,كلام، خطاب
spell,يتهجى
spelling,إملاء، تهجئة
spelling rules,قواعد الإملاء، قواعد التهجئة
spend,ينفق (مالا)، يقضي (وقتا)
spend time,يقضي (الوقت)
spent,أنفق (مالا)، قضى (وقتا)
spoiler,سبويلر
spoke,تكلم
spoon,ملعقة
sport,رياضة
spring,ربيع
square,مربع
stage,مرحلة، مسرح
stands,يقف
stanza,مقطع شعري
star,كوكب، نجم
start,بداية
start,يبدأ
state,دولة، حالة، حال
state,يصرح
station,محطة
stay,يبقى
stay away,يبتعد عن
staycation,قضاء عطلة قريبا من البيت
steals,يسرق
step,خطوة
stick,يُلصق
still,لا يزال، دون حركة
stole,سرق
stolen,مسروق
stone,حجر
stood,وقف
stops,يتوقف
store,دكان
storm,عاصفة
story,قصة
straight,مستقيم
strange,غريب
strangest,الأغرب
straw,قش
street,شارع
strong,قوي، وطيد
stuck,محجوز، عالق
student,طالب
studio,إستوديو
study,يتعلم، يدرس
subject,فاعل، مبتدأ
subtitle,عناوين ثانوية
succeed,ينجح
success,نجاح
successful,ناجح
such,مثل هذا
suddenly,فجأة
sugar,سكر
suggest,ينصح
suggestion,إقتراح
suicide,إنتحار
suit,بدلة
suit,يلائم، يناسب
suitable,ملائم، مناسب
summarize,يلخص
summary,تلخيص
summer,صيف
sun,شمس
Sunday,يوم الأحد
sunny,مشمس
superhero,سوبرهيرو، البطل الأمثل
superstar,نجم فوق العادة، سوبر ستار
supplies,معدات
table,جدول
take,يأخذ
take a hike,يذهب للتمشية
take a test,يخضع لامتحان
take a tour,يقوم بجولة
take a trip,يقوم برحلة
take off,تقلع (طائرة)
take part in,يشارك-يساهم في
take place,يحدث
talk,يتكلم
tall,طويل
taller,أطول
tallest,الأطول
task,مهمة-وظيفة
taught,علّم
teach,يعلّم
teacher,معلم
team,فريق-طاقم-مجموعة
teammate,عضو فريق
teamwork,عمل الفريق



